Site,Type,Plant_Species,FU_Open
Haytor,di,Sedum_anglicum,0
Haytor,di,Sorbus_aucuparia,0
Haytor,di,Ulex_europaeus,3491
Haytor,di,Vaccinium_myrtillus,7
Haytor,di,Veronica_officinalis,0
Hells.Mouth,mon,Achillea_millefolium,0
Hells.Mouth,mon,Arctium_minus,0
Hells.Mouth,mon,Armeria_maritima,6
Hells.Mouth,mon,Calluna_vulgaris,12490
Hells.Mouth,mon,Centaurea_nigra,4
Hells.Mouth,mon,Chamerion_angustifolium,0
Hells.Mouth,mon,Cirsium_arvense,0
Hells.Mouth,mon,Cirsium_palustre,0
Hells.Mouth,mon,Cirsium_vulgare,0
Hells.Mouth,mon,Crataegus_monogyna,0
Hells.Mouth,mon,Crepis_vesicaria,1
Hells.Mouth,mon,Daucus_carota,0
Hells.Mouth,mon,Digitalis_purpurea,0
Hells.Mouth,mon,Erica_cinerea,97366
Hells.Mouth,mon,Galium_saxatile,47
Hells.Mouth,mon,Galium_verum,0
Hells.Mouth,mon,Grass,0
Hells.Mouth,mon,Hedera_helix,0
Hells.Mouth,mon,Heracleum_sphondylium,0
Hells.Mouth,mon,Hyacinthoides_non-scripta,0
Hells.Mouth,mon,Hypericum_linarifolium,0
Hells.Mouth,mon,Hypochaeris_radicata,0
Hells.Mouth,mon,Ilex_aquifolium,0
Hells.Mouth,mon,Knautia_arvensis,0
Hells.Mouth,mon,Leontodon_hispidus,0
Hells.Mouth,mon,Lonicera_periclymenum,0
Hells.Mouth,mon,Lotus_corniculatus,14
Hells.Mouth,mon,Ononis_repens,0
Hells.Mouth,mon,Pedicularis_palustris,0
Hells.Mouth,mon,Plantago_lanceolata,3
Hells.Mouth,mon,Polygala_serpyllifolia,11
Hells.Mouth,mon,Potentilla_anserina,0
Hells.Mouth,mon,Potentilla_erecta,17
Hells.Mouth,mon,Primula_veris,0
Hells.Mouth,mon,Prunus_spinosa,0
Hells.Mouth,mon,Ranunculus_bulbosus,0
Hells.Mouth,mon,Rosa_rugosa,0
Hells.Mouth,mon,Rosa_spinosissima,3
Hells.Mouth,mon,Rubia_peregrina,0
Hells.Mouth,mon,Rubus_fruiticosus,2
Hells.Mouth,mon,Rubus_fruticosus,14
