Upper.Taxon	N individuals observed	Obs spp	Estimated total spp (Chao1)	Chao1 SE	Sampling completeness
Rhamphomyia_nigripennis	1	1	1	0	1
Rhamphomyia_simplex	4	2	2	0.353553391	1
Rhamphomyia_umbripennis	112	3	3	0.40824829	1
Rhaphium_fasciatum	1	1	1	0	1
Rhingia_campestris	6	6	21	13.45627841	0.285714286
Rhinophora_lepida	16	8	10	2.855793332	0.8
Richertella_sp.	1	1	1	0	1
Rutpela_maculata	2	1	1	0	1
Saltella_sphondylii	4	4	10	6.971370023	0.4
Saprinus_semistriatus	1	1	1	0	1
Sarcophaga_anaces	1	1	1	0	1
Sarcophaga_carnaria	5	5	15	10.04158022	0.333333333
Sarcophaga_hirticrus	2	1	1	0	1
Sarcophaga_nigriventris	8	5	11	7.012974988	0.454545455
Sarcophaga_sinuata	6	6	21	13.45627841	0.285714286
Sarcophaga_subvivina	1	1	1	0	1
Sarcophaga_teretirostris	2	2	3	2.041241452	0.666666667
Sarcophaga_vagans	2	2	3	2.041241452	0.666666667
Sarcophaga_variegata	2	2	3	2.041241452	0.666666667
Sarcophga_sp.	26	11	26	13.5660776	0.423076923
Sarcophila_latifrons	2	2	3	2.041241452	0.666666667
Scaeva_pyrastri	7	4	4.5	1.25	0.888888889
Scambus_sp._A	4	3	3.5	1.235631707	0.857142857
Scambus_sp._B	1	1	1	0	1
Scambus_sp._C	1	1	1	0	1
Scambus_sp._D	1	1	1	0	1
Scaptomyza_flava	2	2	3	2.041241452	0.666666667
Scatella_tenuicosta	1	1	1	0	1
Scathophaga_calida	17	4	4.5	1.25	0.888888889
Scathophaga_furcata	5	3	4	2.121320344	0.75
Scathophaga_litorea	2	1	1	0	1
Scathophaga_stercoraria	175	26	30.2	4.332882435	0.860927152
Schoenomyza_litorella	1	1	1	0	1
Sciara_thomae	8	1	1	0	1
Sciaridae_sp.	163	14	19.25	5.352921091	0.727272727
Scotopteryx_luridata	2	2	3	2.041241452	0.666666667
Scotopteryx_mucronata	1	1	1	0	1
Scythris_sp.	1	1	1	0	1
Sepsis_cynipsea	18	9	14	5.496752288	0.642857143
Sepsis_fulgens	2	1	1	0	1
Sepsis_orthocnemis	1	1	1	0	1
Sicus_ferrugineus	5	3	4	2.121320344	0.75
Siphona_geniculata	13	11	23	10.72076409	0.47826087
Siphona_urbana	22	7	8	1.794087512	0.875
Sitona_striatellus	1	1	1	0	1
Solieria_sp.	1	1	1	0	1
Solieria_vacua	1	1	1	0	1
Spaerophoria_sp.	1	1	1	0	1
Spelobia_clunipes	1	1	1	0	1
Sphaerophoria_interrupta	8	6	8	2.848001248	0.75
Sphaerophoria_scripta	70	20	24.2	4.330635057	0.826446281
Sphaerophoria_sp.	76	25	52.5	22.68400947	0.476190476
Sphecodes_geoffrellus	1	1	1	0	1
Sphecodes_scabricollis	1	1	1	0	1
Sphegina_clunipes	2	2	3	2.041241452	0.666666667
Sphenella_marginata	3	1	1	0	1
Spilogona_denigrate	4	4	10	6.971370023	0.4
Spilogona_marina	1	1	1	0	1
Strongylogaster_lineata	7	4	4.5	1.25	0.888888889
Sylvicola_punctatus	1	1	1	0	1
Symplecta_sp.	1	1	1	0	1
Symplecta_stictica	4	2	2	0	1
Syntormon_aulicum	1	1	1	0	1
Syritta_pipiens	11	7	12	5.949002017	0.583333333
Syrphidae_12	7	5	6	1.786005267	0.833333333
Syrphidae_15	2	2	3	2.041241452	0.666666667
Syrphidae_16	1	1	1	0	1
Syrphidae_27	1	1	1	0	1
Syrphidae_30	1	1	1	0	1
Syrphus_ribesii	20	14	41.5	22.65369195	0.337349398
Syrphus_torvus	6	6	21	13.45627841	0.285714286
Syrphus_vitripennis	10	7	22	13.48231164	0.318181818
Tachina_grossa	2	2	3	2.041241452	0.666666667
Tachysphex_pompiliformis	1	1	1	0	1
